id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,raw_swing_power_score,swing_path_efficiency_score,mechanical_swing_quality_score,mechanical_swing_quality_percentile,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,mechanical_swing_quality_adjusted_label,xwoba,xba,xslg,avg_exit_velocity,hard_hit_rate,barrel_rate,expanded_latent_swing_quality_score,expanded_latent_swing_quality_percentile,expanded_latent_swing_quality_shrunk,expanded_latent_swing_quality_shrunk_percentile,expanded_lsq_label,msq_reliability,msq_uncertainty_proxy,date_start,date_end,dashboard_ranking_score
663728,"Raleigh, Cal",R,75.255424678,0.4528301886792452,1272,1.4191098790326335,-0.650898842032387,0.38410551850012326,71.7206132879046,0.3841043697522061,74.44633730834754,Above-average reliability-adjusted mechanical profile,0.371,0.231,0.547,91.3,49.6,19.5,1.2201535482247876,94.37819420783646,1.2201498991003161,94.8892674616695,Elite reliability-adjusted mechanical profile,0.999997009290776,0.028038607704602217,2025-03-28,2025-09-30,1.2201498991003161
695657,"Montgomery, Colson",L,77.0448783,0.5242914979757084,494,2.096990635124972,0.1868406025549461,1.141915618839959,95.74105621805792,1.1337456712120861,97.27427597955707,Elite reliability-adjusted mechanical profile,0.341,0.23,0.501,89.4,44.5,14.5,1.215632581640273,94.03747870528109,1.206935218750337,94.71890971039181,Elite reliability-adjusted mechanical profile,0.9928454016276854,0.04499212706658475,2025-03-28,2025-09-30,1.206935218750337
686527,"Canzone, Dominic",L,73.110603774,0.5488069414316703,461,0.6066089020801416,0.4742346369884315,0.5404217695342866,78.02385008517888,0.5350435902742754,80.57921635434411,Strong reliability-adjusted mechanical profile,0.376,0.29,0.533,92.3,49.7,14.4,1.2158644603386768,94.20783645655877,1.2037643981424162,94.54855195911414,Elite reliability-adjusted mechanical profile,0.9900481816921516,0.04657464328326223,2025-03-28,2025-09-30,1.2037643981424162
670541,"Alvarez, Yordan",L,76.115865016,0.4077669902912622,309,1.7450618566222438,-1.1791737807445173,0.28294403793886325,64.5655877342419,0.2700695312255096,66.09880749574106,Above-average reliability-adjusted mechanical profile,0.393,0.284,0.549,94.7,52.9,13.8,1.2607550269034835,94.8892674616695,1.2033882091539239,94.37819420783646,Elite reliability-adjusted mechanical profile,0.9544980455953784,0.05688801239885743,2025-03-28,2025-09-30,1.2033882091539239
641343,"Bauers, Jake",L,76.470618812,0.5014492753623188,345,1.8794496767381572,-0.08093829869488495,0.8992556890216361,90.80068143100512,0.8707082449070463,92.50425894378195,Elite reliability-adjusted mechanical profile,0.354,0.234,0.457,91.7,45.6,13.6,1.2012333151546088,93.8671209540034,1.1630993991264895,94.20783645655877,Elite reliability-adjusted mechanical profile,0.9682543636219321,0.05383819020581655,2025-03-28,2025-09-30,1.1630993991264895
696100,"Goodman, Hunter",R,74.380206309,0.6106280193236713,1035,1.0875596882763507,1.1989618490547567,1.1432607686655536,95.9114139693356,1.1432241925641207,97.44463373083475,Elite reliability-adjusted mechanical profile,0.324,0.244,0.466,90.8,46.9,12.8,1.1548199771486074,93.52640545144804,1.1547830312358474,94.03747870528109,Elite reliability-adjusted mechanical profile,0.9999680072102223,0.03108349360801046,2025-03-28,2025-09-30,1.1547830312358474
665019,"Clemens, Kody",L,72.190420994,0.6605504587155964,654,0.25802529478196135,1.7842015691266921,1.0211134319543267,93.35604770017035,1.0196384453456733,95.22998296422487,Elite reliability-adjusted mechanical profile,0.331,0.243,0.465,91.5,48.3,12.0,1.1362198043466436,93.35604770017035,1.1345785479069055,93.8671209540034,Elite reliability-adjusted mechanical profile,0.9985555115009794,0.039103094350288754,2025-03-28,2025-09-30,1.1345785479069055
575929,"Contreras, Willson",R,75.958623151,0.474835886214442,914,1.6854954990340325,-0.39292650689907277,0.6462844960674798,81.60136286201022,0.6462151579297919,83.98637137989779,Strong reliability-adjusted mechanical profile,0.358,0.257,0.488,90.6,49.0,13.9,1.0925032373984853,93.01533219761498,1.092386025643662,93.69676320272572,Elite reliability-adjusted mechanical profile,0.9998927126704883,0.03307706008278112,2025-03-28,2025-09-30,1.092386025643662
642133,"Tellez, Rowdy",L,74.76675938,0.5499999999999999,500,1.2339937085928003,0.4882208378044035,0.8611072731986019,89.43781942078365,0.8553051780312627,92.16354344122658,Elite reliability-adjusted mechanical profile,0.328,0.234,0.479,91.2,46.4,15.3,1.0916842515555967,92.84497444633732,1.0843285409288788,93.52640545144804,Elite reliability-adjusted mechanical profile,0.9932620530009145,0.044721359549995794,2025-03-28,2025-09-30,1.0843285409288788
621566,"Olson, Matt",L,73.94050699,0.4819855884707766,1249,0.9209928082228334,-0.30911069585175144,0.30594105618554096,65.58773424190801,0.3059399045907741,69.33560477001703,Above-average reliability-adjusted mechanical profile,0.36,0.249,0.492,93.3,53.3,14.3,1.064766130988524,92.50425894378195,1.0647621230952398,93.35604770017035,Elite reliability-adjusted mechanical profile,0.9999962358933409,0.028295591748714637,2025-03-28,2025-09-30,1.0647621230952398
605137,"Bell, Josh",R,73.09528,0.5829545454545455,880,0.6008039505700292,0.8745462896819747,0.7376751201260019,85.17887563884156,0.7375639280867239,87.73424190800682,Strong reliability-adjusted mechanical profile,0.359,0.256,0.485,90.4,47.0,12.0,1.0612646955053449,92.33390119250427,1.061104727814301,93.18568994889267,Elite reliability-adjusted mechanical profile,0.9998492669249045,0.033709993123162106,2025-03-28,2025-09-30,1.061104727814301
669127,"Langeliers, Shea",R,73.834070544,0.6149490373725935,883,0.880672557614928,1.2496170538920846,1.0651448057535062,94.37819420783646,1.0649889982465246,96.25212947189097,Elite reliability-adjusted mechanical profile,0.328,0.251,0.463,90.9,44.9,11.2,1.0580483103007372,92.16354344122658,1.057893540856617,93.01533219761498,Elite reliability-adjusted mechanical profile,0.9998537217605156,0.03365267940680323,2025-03-28,2025-09-30,1.057893540856617
680718,"Barger, Addison",L,75.928020187,0.5099415204678363,855,1.6739024853230664,0.018616114287971296,0.8462592998055188,88.75638841567292,0.846095510465086,91.65247018739353,Elite reliability-adjusted mechanical profile,0.331,0.255,0.462,91.7,51.0,11.4,1.0501212052999995,91.9931856899489,1.0499179594867718,92.84497444633732,Elite reliability-adjusted mechanical profile,0.999806454900442,0.03419927840283847,2025-03-28,2025-09-30,1.0499179594867718
661388,"Contreras, William",R,73.246505578,0.656160458452722,1047,0.6580912185354113,1.7327376872280063,1.1954144528817088,96.42248722316864,1.1953805329259815,97.78534923339012,Elite reliability-adjusted mechanical profile,0.328,0.248,0.393,91.1,48.5,6.4,1.0325826548233403,91.82282793867121,1.0325533552295034,92.67461669505963,Elite reliability-adjusted mechanical profile,0.9999716249409186,0.03090485136077065,2025-03-28,2025-09-30,1.0325533552295034
665862,"Chisholm Jr., Jazz",L,73.931329634,0.5675057208237986,874,0.9175162425562353,0.6934400394172657,0.8054781409867505,87.73424190800682,0.8053492210786595,90.28960817717207,Elite reliability-adjusted mechanical profile,0.346,0.234,0.481,89.0,43.3,15.0,1.029052674863712,91.65247018739353,1.0288879709822365,92.50425894378195,Elite reliability-adjusted mechanical profile,0.9998399461120905,0.03382550457458692,2025-03-28,2025-09-30,1.0288879709822365
521692,"Perez, Salvador",R,72.930339325,0.5617879053461875,1141,0.5383211300572444,0.6264102073357559,0.5823656686965002,79.04599659284497,0.5823592137042343,81.43100511073254,Strong reliability-adjusted mechanical profile,0.357,0.269,0.534,90.0,46.7,14.8,1.026510696577174,91.48211243611584,1.0264993186423754,92.33390119250427,Elite reliability-adjusted mechanical profile,0.9999889159120928,0.029604462320866852,2025-03-28,2025-09-30,1.0264993186423754
666018,"Aranda, Jonathan",L,70.474476274,0.5616438356164384,730,-0.3920088217246108,0.6247212808863234,0.11635622958085629,54.34412265758092,0.11627762643603906,55.195911413969334,Above-average reliability-adjusted mechanical profile,0.382,0.291,0.515,93.0,54.5,12.8,1.0250725101497833,91.31175468483816,1.0243800339217919,92.16354344122658,Elite reliability-adjusted mechanical profile,0.9993244612248061,0.037011660509880265,2025-03-28,2025-09-30,1.0243800339217919
677800,"Abreu, Wilyer",L,74.09934894,0.5747282608695651,736,0.9811653099526261,0.7781097263572118,0.879637518154919,89.9488926746167,0.8790778941209165,93.01533219761498,Elite reliability-adjusted mechanical profile,0.335,0.243,0.475,90.8,44.9,12.3,1.0149699438902153,91.14139693356049,1.0143242215754344,91.9931856899489,Elite reliability-adjusted mechanical profile,0.9993638015404614,0.036860489038724284,2025-03-28,2025-09-30,1.0143242215754344
677951,"Witt Jr., Bobby",R,74.344381085,0.4758432087511394,1097,1.0739883782218551,-0.38111768572407456,0.3464353462488903,69.16524701873935,0.34642938397764866,72.7427597955707,Above-average reliability-adjusted mechanical profile,0.365,0.285,0.508,93.3,48.5,12.5,1.003027126243118,90.80068143100512,1.0030098638019322,91.82282793867121,Elite reliability-adjusted mechanical profile,0.999982789656696,0.03019233393195842,2025-03-28,2025-09-30,1.0030098638019322
656305,"Chapman, Matt",R,74.957983748,0.5323565323565322,819,1.3064333167332145,0.28138683308564677,0.7939100749094307,86.88245315161839,0.7936898332318123,89.43781942078365,Strong reliability-adjusted mechanical profile,0.34,0.243,0.417,92.2,47.6,9.9,0.9995543630777097,90.63032367972743,0.9992770728193386,91.65247018739353,Elite reliability-adjusted mechanical profile,0.9997225861157594,0.03494282789073061,2025-03-28,2025-09-30,0.9992770728193386
668227,"Arozarena, Randy",R,72.327965463,0.6194444444444442,1080,0.3101298855328709,1.3023166176230356,0.8062232515779533,87.9045996592845,0.8062068050239826,90.45996592844975,Elite reliability-adjusted mechanical profile,0.327,0.227,0.417,91.3,50.6,11.5,0.9862942584282852,90.45996592844975,0.986274138515196,91.48211243611584,Elite reliability-adjusted mechanical profile,0.9999796004965888,0.03042903097250923,2025-03-28,2025-09-30,0.986274138515196
663586,"Riley, Austin",R,75.875444114,0.4569620253164557,790,1.6539856192587923,-0.6024614069551425,0.525762106151825,77.68313458262351,0.525567183247151,80.06814310051107,Strong reliability-adjusted mechanical profile,0.33,0.246,0.472,92.3,50.2,15.2,0.9855624672716858,90.28960817717207,0.985197076353226,91.31175468483816,Elite reliability-adjusted mechanical profile,0.9996292564595409,0.035578403348241,2025-03-28,2025-09-30,0.985197076353226
669257,"Smith, Will",R,69.776257956,0.6273584905660378,636,-0.6565078595897917,1.3950928159268976,0.36929247816855293,70.86882453151618,0.368653836049869,73.42419080068143,Above-average reliability-adjusted mechanical profile,0.378,0.269,0.496,91.3,47.1,12.2,0.9844333126250517,90.11925042589438,0.9827308664241546,91.14139693356049,Elite reliability-adjusted mechanical profile,0.9982706332881428,0.03965257928590721,2025-03-28,2025-09-30,0.9827308664241546
673548,"Suzuki, Seiya",R,73.411264871,0.5025853154084797,967,0.7205053279255463,-0.06762052482998655,0.32644240154777987,67.97274275979557,0.32642178675734723,71.03918228279386,Above-average reliability-adjusted mechanical profile,0.352,0.247,0.493,91.3,48.7,16.6,0.9747563693775763,89.9488926746167,0.9746948136538641,90.9710391822828,Elite reliability-adjusted mechanical profile,0.9999368501446659,0.032157832069216574,2025-03-28,2025-09-30,0.9746948136538641
677594,"Rodríguez, Julio",R,76.448462517,0.4659468438538205,1204,1.8710564298709822,-0.4971325658617915,0.6869619320045953,83.30494037478705,0.6869578766661096,85.68994889267462,Strong reliability-adjusted mechanical profile,0.348,0.274,0.483,91.8,48.0,9.8,0.964578856416705,89.43781942078365,0.9645731622238005,90.80068143100512,Elite reliability-adjusted mechanical profile,0.999994096705659,0.02881952088521175,2025-03-28,2025-09-30,0.9645731622238005
682663,"Ramírez, Agustín",R,75.23016891,0.5322751322751323,945,1.409542489916176,0.28043258162212525,0.8449875357691505,88.58603066439524,0.8449210440673007,91.48211243611584,Elite reliability-adjusted mechanical profile,0.332,0.259,0.457,90.8,47.0,11.0,0.9599089974089825,89.09710391822829,0.9598334625872759,90.63032367972743,Elite reliability-adjusted mechanical profile,0.9999213104347282,0.03253000243161777,2025-03-28,2025-09-30,0.9598334625872759
686948,"Baldwin, Drake",L,75.317953799,0.4778067885117493,766,1.4427971583787689,-0.3580986809751974,0.5423492387017858,78.19420783645657,0.5420936254863461,80.7495741056218,Strong reliability-adjusted mechanical profile,0.353,0.272,0.48,91.7,49.6,11.0,0.9574178071612395,88.75638841567292,0.9569665690534965,90.45996592844975,Elite reliability-adjusted mechanical profile,0.9995286925892042,0.036131468676496206,2025-03-28,2025-09-30,0.9569665690534965
669394,"Burger, Jake",R,74.637040736,0.536776212832551,639,1.1848536965841578,0.33319865550654715,0.7590261760453525,85.8603066439523,0.7577523356583876,88.41567291311755,Strong reliability-adjusted mechanical profile,0.324,0.246,0.478,90.4,48.5,13.9,0.957639178195718,88.9267461669506,0.9560320143062176,90.28960817717207,Elite reliability-adjusted mechanical profile,0.9983217437986107,0.03955938860646178,2025-03-28,2025-09-30,0.9560320143062176
